afkorting,plaatsnaam
ENSPK,Enspijk
ENTER,Enter
ENUMTL,Enumatil
EPE,Epe
EPEN,Epen
EPPENH,Eppenhuizen
EPSE,Epse
ERICA,Erica
ERICHM,Erichem
ERLECM,Erlecom
ERM,Erm
ERMELO,Ermelo
ERP,Erp
ESBEEK,Esbeek
ESCH,Esch
ESCHRN,Escharen
ESPEL,Espel
EST,Est
ETTEN,Etten
ETTENL,Etten-Leur
EUROPT,Europoort Rotterdam
EURSMD,Eursinge
EURSDW,Eursinge De Wolden
EVERDG,Everdingen
EVRTSO,Evertsoord
EWIJK,Ewijk
EXLRVN,Exloerveen
EXLOO,Exloo
EXMORR,Exmorra
EYGLHV,Eygelshoven
EYS,Eys
EZINGE,Ezinge
FARMSM,Farmsum
FEANWD,Feanwalden
FEERWD,Feerwerd
FEINSM,Feinsum
FERWRT,Ferwert
FERWDE,Ferwoude
FIJNRT,Fijnaart
FINSWL,Finsterwolde
FIRDGM,Firdgum
FLERNG,Fleringen
FLUITB,Fluitenberg
FOCHTL,Fochteloo
FOLLGA,Follega
FOLSGR,Folsgare
FORMRM,Formerum
FOUDGM,Foudgum
FOXHOL,Foxhol
FOXWLD,Foxwolde
FRANKR,Franeker
FREDKO,Frederiksoord
FRIENS,Friens
FRIEPL,Frieschepalen
FROOMB,Froombosch
GAANDR,Gaanderen
GAAST,Gaast
GAASTM,Gaastmeer
GALDER,Galder
GAMERN,Gameren
GAPING,Gapinge
GARDRN,Garderen
GARMWD,Garmerwolde
GARMNG,Garminge
GARNWD,Garnwerd
GARRLW,Garrelsweer
GARSTH,Garsthuizen
GARYP,Garyp
GASSEL,Gassel
GASLTE,Gasselte
GASNVN,Gasselternijveen
GASNVM,Gasselternijveenschemond
GASTEL,Gastel
GASTRN,Gasteren
GAUW,Gauw
GEELBR,Geelbroek
GEERDK,Geerdijk
GEERSD,Geersdijk
GEERTB,Geertruidenberg
GEERVL,Geervliet
GEES,Gees
GEESBG,Geesbrug
GEESGE,Geesteren GE
GEESOV,Geesteren OV
GEEUWB,Geeuwenbrug
GEFFEN,Geffen
GEIJST,Geijsteren
GELDML,Geldermalsen
GELDWD,Gelderswoude
GELDRP,Geldrop
GELEEN,Geleen
GELLCM,Gellicum
GELSLR,Gelselaar
GEMERT,Gemert
GEMOND,Gemonde
GENDRN,Genderen
GENDRG,Gendringen
GENDT,Gendt
GENEMD,Genemuiden
GENNEP,Gennep
GERKKL,Gerkesklooster
GERSLT,Gersloot
GEULLE,Geulle
GIESBK,Giesbeek
GIESSN,Giessen
GIESBG,Giessenburg
GIETEN,Gieten
GIETVN,Gieterveen
GIETNM,Giethmen
GIETHN,Giethoorn
GILZE,Gilze
GINNUM,Ginnum
GLANE,Glane
GLIMMN,Glimmen
GODLNZ,Godlinze
GOEDRD,Goedereede
GOENGA,Goenga
GOENHZ,Goengahuizen
GOES,Goes
GOINGR,Goingarijp
GOIRLE,Goirle
GOOR,Goor
GORCHM,Gorinchem
GORRDK,Gorredijk
GORSSL,Gorssel
GOUDA,Gouda
GOUDRK,Gouderak
GOUDRN,Goudriaan
GOUDWD,Goudswaard
GOUTUM,Goutum
GRAAUW,Graauw
GRAFHT,Grafhorst
GRAFT,Graft
GRAMSB,Gramsbergen
GRASHK,Grashoek
GRATHM,Grathem
GRAVE,Grave
GREONT,Greonterp
GREVBT,Grevenbicht
GRIENV,Griendtsveen
GRIJPK,Grijpskerk
GRIJKK,Grijpskerke
GROEDE,Groede
GROENK,Groenekan
GROENG,Groeningen
GROENL,Groenlo
GROESB,Groesbeek
GROESS,Groessen
GROET,Groet
GROLLO,Grolloo
GRONGN,Groningen
GRONSV,Gronsveld
GROOTA,Groot-Ammers
GROOTB,Grootebroek
GROOTG,Grootegast
GROOTS,Grootschermer
GROU,Grou
GRUBVS,Grubbenvorst
GULPEN,Gulpen
GUTTEC,Guttecoven
GYTSJK,Gytsjerk
HAAFTN,Haaften
HAAKSB,Haaksbergen
HAALDR,Haalderen
HAAREN,Haaren
HAARLH,Haarle Hellendoorn
HAARLT,Haarle Tubbergen
HAARLM,Haarlem
HAARLL,Haarlemmerliede
HAARLO,Haarlo
HAARST,Haarsteeg
HAARZL,Haarzuilens
HAASTR,Haastrecht
HAELEN,Haelen
HAGEST,Hagestein
HAGHST,Haghorst
HALER,Haler
HALFWG,Halfweg
HALL,Hall
HALLE,Halle
HALLUM,Hallum
HALSTR,Halsteren
HANDEL,Handel
HANK,Hank
HANSWT,Hansweert
HANTUM,Hantum
HANTBR,Hantumeruitburen
HANTHZ,Hantumhuizen
HAPERT,Hapert
HAPS,Haps
HARBHK,Harbrinkhoek
HARDBG,Hardenberg
HARDWK,Harderwijk
HARDGD,Hardinxveld-Giessendam
HARNGR,Haren Gn
HARNNB,Haren Oss
HARFSN,Harfsen
HARICH,Harich
HARIHZ,Haringhuizen
HARKMA,Harkema
HARKST,Harkstede
HARKGN,Harkstede GN
HARLGN,Harlingen
HARMLN,Harmelen
HARRVD,Harreveld
HARSKP,Harskamp
HARTWD,Hartwerd
HASTDK,Haskerdijken
HASKHN,Haskerhorne
HASSLT,Hasselt
HATTEM,Hattem
HATTBR,Hattemerbroek
HAULE,Haule
HAULWK,Haulerwijk
HAUWRT,Hauwert
HAVLTE,Havelte
HAVLTB,Havelterberg
HAZDRP,Hazerswoude-Dorp
HAZRDK,Hazerswoude-Rijndijk
HEDEL,Hedel
HEDIKH,Hedikhuizen
HEE,Hee
HEEG,Heeg
HEEL,Heel
HEELSM,Heelsum
HEELWG,Heelweg
HEEMVN,Heemserveen
HEEMKK,Heemskerk
HEEMST,Heemstede
HEENVL,Heenvliet
HEERDE,Heerde
HEERVN,Heerenveen
HEERWD,Heerewaarden
HEERHW,Heerhugowaard
HEERJD,Heerjansdam
HEERLE,Heerle
HEERLN,Heerlen
HEESBN,Heesbeen
HEESCH,Heesch
HEESST,Heesselt
HEESDT,Heeswijk-Dinther
HEETEN,Heeten
HEEZE,Heeze
HEGEBT,Hegebeintum
HEGELS,Hegelsom
HEIBCP,Hei- en Boeicop
HEIBLM,Heibloem
HEIDE,Heide
HEIJEN,Heijen
HEIJRT,Heijenrath
HEIJNG,Heijningen
HEIKNT,Heikant
HEILST,Heilig Landstichting
HEILGL,Heiligerlee
HEILOO,Heiloo
HEINND,Heinenoord
HEINKZ,Heinkenszand
HEINO,Heino
HEKELI,Hekelingen
HEKEND,Hekendorp
HELDEN,Helden
HELNVN,Helenaveen
HELLDN,Hellendoorn
HELLVS,Hellevoetsluis
HELLW,Hellouw
HELLUM,Hellum
HELMND,Helmond
HELVRT,Helvoirt
HEM,Hem
HEMELM,Hemelum
HEMMEN,Hemmen
HEMPNS,Hempens
HEMRIK,Hemrik
HENDIA,Hendrik-Ido-Ambacht
HENGOV,Hengelo
HENGGE,Hengelo (Gld)
HENGEV,Hengevelde
HENGDK,Hengstdijk
HENSBK,Hensbroek
HERBJM,Herbaijum
HERKBS,Herkenbosch
HERKGN,Herkingen
HERNEN,Hernen
HERPEN,Herpen
HERPT,Herpt
HERTEN,Herten
HERTME,Hertme
HERVLD,Herveld
HERWEN,Herwen
HERWNN,Herwijnen
HETERN,Heteren
HEUKLO,Heukelom
HEUKLU,Heukelum
HEUMEN,Heumen
HEUSDA,Heusden Asten
HEUSDH,Heusden Heusden
HEVDRP,Heveadorp
HEYTHS,Heythuysen
HEZING,Hezingen
HIAURE,Hiaure
HICHTM,Hichtum
HIDRD,Hidaard
HIERDN,Hierden
HIESLM,Hieslum
HIJKEN,Hijken
HIJUM,Hijum
HILRD,Hilaard
HILLGM,Hillegom
HILVBK,Hilvarenbeek
HILVSM,Hilversum
HINDLP,Hindeloopen
HINNRD,Hinnaard
HIPPHF,Hippolytushoef
HITZUM,Hitzum
HOBRDE,Hobrede
HOEDKK,Hoedekenskerke
HOEFHG,Hoef en Haag
HOEK,Hoek
HOEKVH,Hoek van Holland
HOENDA,Hoenderloo Apeldoorn
HOENDE,Hoenderloo Ede
HOENDE,Hoenderloo Ede
HOENBR,Hoensbroek
HOENZD,Hoenzadriel
HOEVLK,Hoevelaken
HOEVEN,Hoeven
HOGEHX,Hoge Hexel
HOLLRD,Hollandsche Rading
HOLLVD,Hollandscheveld
HOLLUM,Hollum
HOLSLT,Holsloot
HOLTEN,Holten
HOLTHS,Holthees
HOLTHM,Holtheme
HOLTHN,Holthone
HOLTUM,Holtum
HOLWRD,Holwerd
HOLWDE,Holwierde
HOMMRT,Hommerts
HOMOET,Homoet
HONSDK,Honselersdijk
HOOFDD,Hoofddorp
HOOFDP,Hoofdplaat
HOOGSR,Hoog Soeren
HOOGBL,Hoogblokland
HOOGEM,Hooge Mierde
HOOGZW,Hooge Zwaluwe
HOOGLN,Hoogeloon
HOOGWG,Hoogenweg
HOOGHD,Hoogerheide
HOOGSM,Hoogersmilde M-Drenthe
HOOGSW,Hoogersmilde Westerveld
HOOGVN,Hoogeveen
HOOGZD,Hoogezand
HOOGHL,Hooghalen
HOOGKS,Hoogkarspel
HOOGKP,Hoog-Keppel
HOOGLD,Hoogland
HOOGLV,Hooglanderveen
HOOGMD,Hoogmade
HOOGVL,Hoogvliet Rotterdam
HOOGWD,Hoogwoud
HOORFR,Hoorn Fr
HOORNH,Hoorn NH
HOORNR,Hoornaar
HOORZW,Hoornsterzwaag
HORN,Horn
HORNHZ,Hornhuizen
HORSSN,Horssen
HORST,Horst
HOUTEN,Houten
HOUTHG,Houtigehage
HOUWZL,Houwerzijl
HUIJBG,Huijbergen
HUISDR,Huis ter Heide DR
HUISUT,Huis ter Heide UT
HUISDN,Huisduinen
HUISSL,Huisseling
HUISSN,Huissen
HUIZEN,Huizen
HUIZNG,Huizinge
HULSBG,Hulsberg
HULSEL,Hulsel
HULSHT,Hulshorst
HULST,Hulst
HULTEN,Hulten
HUMMLO,Hummelo
HUNS,Huns
HUNSEL,Hunsel
HURDGP,Hurdegaryp
HURWNN,Hurwenen
IDAERD,Idaerd
IDSGHZ,Idsegahuizum
IDSKHZ,Idskenhuizen
IDZEGA,Idzega
IENS,Iens
IJHRST,IJhorst
IJLST,IJlst
IJMDN,IJmuiden
IJSSHM,IJsselham
IJSSMD,IJsselmuiden
IJSSST,IJsselstein
IJZNDK,IJzendijke
IJZDRN,IJzendoorn
ILPNDM,Ilpendam
INDIJK,Indijk
INGBER,Ingber
INGELM,Ingelum
INGEN,Ingen
ITHEIK,It Heidenskip
ITENS,Itens
ITTERV,Ittervoort
JAARSV,Jaarsveld
JABEEK,Jabeek
JANNUM,Jannum
JELLUM,Jellum
JELSUM,Jelsum
JIRNSM,Jirnsum
JISLUM,Jislum
JISP,Jisp
JISTRM,Jistrum
JONKLN,Jonkerslan
JONKVT,Jonkersvaart
JOPPE,Joppe
JORWRT,Jorwert
JOURE,Joure
JOUSWR,Jouswier
JUBBGA,Jubbega
JULIDP,Julianadorp
JUTRP,Jutrijp
KAAG,Kaag
KAARD,Kaard
KAATSH,Kaatsheuvel
KALENB,Kalenberg
KALLKT,Kallenkote
KAMERK,Kamerik
KAMPEN,Kampen
KAMPLD,Kamperland
KAMPVN,Kamperveen
KANTNS,Kantens
KAPATI,Kapel Avezaath Tiel
KAPABU,Kapel-Avezaath Buren
KAPLLE,Kapelle
KAPLBG,Kapellebrug
KATLK,Katlijk
KATS,Kats
KATTDK,Kattendijke
KATWNB,Katwijk NB
KATWZH,Katwijk ZH
KATWDE,Katwoude
KEDCHM,Kedichem
KEENT,Keent
KEIJNB,Keijenborg
KEKERD,Kekerdom
KELPOL,Kelpen-Oler
KERKTI,Kerk Avezaath Tiel
KERKBU,Kerk-Avezaath Buren
KERKDR,Kerkdriel
KERKVD,Kerkenveld
KERKRD,Kerkrade
KERKWV,Kerkwerve
KERKWK,Kerkwijk
KESSEL,Kessel
KESTRN,Kesteren
KIELWW,Kiel-Windeweer
KILDER,Kilder
KIMSWD,Kimswerd
KINDDK,Kinderdijk
KINNUM,Kinnum
KLAASW,Klaaswaal
KLARAD,Klarenbeek Apeldoorn
KLARVO,Klarenbeek Voorst
KLAZVN,Klazienaveen
KLAZND,Klazienaveen-Noord
KLEINZ,Klein Zundert
KLIJND,Klijndijk
KLIMMN,Klimmen
KLOETG,Kloetinge
KLOETK,Kloetinge Kapelle
KLOLID,Klooster Lidlum
KLOOSB,Kloosterburen
KLOOSH,Kloosterhaar
KLOOST,Kloosterhaar Twenterand
KLOOSZ,Kloosterzande
KLUNDT,Klundert
KNEGSL,Knegsel
KOARNJ,Koarnjum
KOCKGN,Kockengen
KOEDLD,Koedijk
KOEDAL,Koedijk Alkmaar
KOEKNG,Koekange
KOEWT,Koewacht
KOLDWD,Kolderwolde
KOLHAM,Kolham
KOLHRN,Kolhorn
KOLLUM,Kollum
KOLLPP,Kollumerpomp
KOLLZW,Kollumerzwaag
KOMMZL,Kommerzijl
KONGBS,Koningsbosch
KONLST,Koningslust
KOOGZN,Koog aan de Zaan
KOOLWK,Koolwijk
KOOTTL,Kootstertille
KOOTWK,Kootwijk
